"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1830","deve realizar login com sucesso com usuário criado previamente","Login - Frontend","Fri May 08 14:17:35 UTC 2026","passed","Fri May 08 14:17:36 UTC 2026","","","",""
"","268","deve validar obrigatoriedade dos campos de login","Login - Frontend","Fri May 08 14:17:38 UTC 2026","passed","Fri May 08 14:17:38 UTC 2026","","","",""
"","2999","deve cadastrar usuário com sucesso pelo front","Cadastro de Usuário - Frontend","Fri May 08 14:17:20 UTC 2026","passed","Fri May 08 14:17:23 UTC 2026","","","",""
"","2968","deve adicionar um produto ao carrinho, aumentar a quantidade e validar o total","Carrinho - Frontend","Fri May 08 14:17:29 UTC 2026","passed","Fri May 08 14:17:32 UTC 2026","","","",""
"","1556","deve exibir erro ao tentar login com usuário excluído","Login - Frontend","Fri May 08 14:17:37 UTC 2026","passed","Fri May 08 14:17:38 UTC 2026","","","",""
"","114","deve buscar usuário cadastrado por ID com sucesso","API Usuários - Fluxo completo","Fri May 08 14:17:17 UTC 2026","passed","Fri May 08 14:17:17 UTC 2026","","","",""
"","626","deve cadastrar usuário com sucesso","API Usuários - Fluxo completo","Fri May 08 14:17:16 UTC 2026","passed","Fri May 08 14:17:17 UTC 2026","","","",""
"","104","deve excluir usuário cadastrado com sucesso","API Usuários - Fluxo completo","Fri May 08 14:17:17 UTC 2026","passed","Fri May 08 14:17:17 UTC 2026","","","",""
"","313","deve validar campos obrigatórios ao tentar cadastrar sem preencher dados","Cadastro de Usuário - Frontend","Fri May 08 14:17:25 UTC 2026","passed","Fri May 08 14:17:25 UTC 2026","","","",""
"","1803","deve exibir erro ao tentar cadastrar usuário já existente","Cadastro de Usuário - Frontend","Fri May 08 14:17:23 UTC 2026","passed","Fri May 08 14:17:25 UTC 2026","","","",""
