"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 08 06:41:40 UTC 2026","Fri May 08 06:41:43 UTC 2026","2830","Cadastro de Usuário - Frontend","","","","","deve cadastrar usuário com sucesso pelo front",""
"passed","Fri May 08 06:41:57 UTC 2026","Fri May 08 06:41:58 UTC 2026","1440","Login - Frontend","","","","","deve exibir erro ao tentar login com usuário excluído",""
"passed","Fri May 08 06:41:55 UTC 2026","Fri May 08 06:41:56 UTC 2026","1843","Login - Frontend","","","","","deve realizar login com sucesso com usuário criado previamente",""
"passed","Fri May 08 06:41:45 UTC 2026","Fri May 08 06:41:45 UTC 2026","298","Cadastro de Usuário - Frontend","","","","","deve validar campos obrigatórios ao tentar cadastrar sem preencher dados",""
"passed","Fri May 08 06:41:49 UTC 2026","Fri May 08 06:41:52 UTC 2026","2896","Carrinho - Frontend","","","","","deve adicionar um produto ao carrinho, aumentar a quantidade e validar o total",""
"passed","Fri May 08 06:41:43 UTC 2026","Fri May 08 06:41:45 UTC 2026","1766","Cadastro de Usuário - Frontend","","","","","deve exibir erro ao tentar cadastrar usuário já existente",""
"passed","Fri May 08 06:41:58 UTC 2026","Fri May 08 06:41:58 UTC 2026","266","Login - Frontend","","","","","deve validar obrigatoriedade dos campos de login",""
"passed","Fri May 08 06:41:37 UTC 2026","Fri May 08 06:41:38 UTC 2026","109","API Usuários - Fluxo completo","","","","","deve buscar usuário cadastrado por ID com sucesso",""
"passed","Fri May 08 06:41:38 UTC 2026","Fri May 08 06:41:38 UTC 2026","101","API Usuários - Fluxo completo","","","","","deve excluir usuário cadastrado com sucesso",""
"passed","Fri May 08 06:41:37 UTC 2026","Fri May 08 06:41:37 UTC 2026","314","API Usuários - Fluxo completo","","","","","deve cadastrar usuário com sucesso",""
